          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               0.172                   (0.9901, -0.1405)                   (1.704, 0.5593)
               0.173                   (0.9899, -0.142)                   (1.704, 0.5575)
               0.174                   (0.9896, -0.1436)                   (1.704, 0.5558)
               0.175                   (0.9894, -0.1452)                   (1.704, 0.554)
               0.176                   (0.9892, -0.1468)                   (1.704, 0.5522)
               0.177                   (0.9889, -0.1485)                   (1.704, 0.5504)
               0.178                   (0.9887, -0.1501)                   (1.704, 0.5486)
               0.179                   (0.9884, -0.1517)                   (1.704, 0.5468)
                0.18                   (0.9882, -0.1534)                   (1.704, 0.545)
               0.181                   (0.9879, -0.155)                   (1.704, 0.5431)
               0.182                   (0.9877, -0.1567)                   (1.704, 0.5413)
               0.183                   (0.9874, -0.1583)                   (1.704, 0.5394)
               0.184                   (0.9871, -0.16)                   (1.704, 0.5375)
               0.185                   (0.9868, -0.1617)                   (1.704, 0.5357)
               0.186                   (0.9866, -0.1634)                   (1.704, 0.5338)
               0.187                   (0.9863, -0.165)                   (1.703, 0.5319)
               0.188                   (0.986, -0.1667)                   (1.703, 0.53)
               0.189                   (0.9857, -0.1685)                   (1.703, 0.528)
                0.19                   (0.9854, -0.1702)                   (1.703, 0.5261)
               0.191                   (0.9851, -0.1719)                   (1.703, 0.5241)
               0.192                   (0.9848, -0.1736)                   (1.703, 0.5222)
               0.193                   (0.9845, -0.1754)                   (1.703, 0.5202)
               0.194                   (0.9842, -0.1771)                   (1.703, 0.5182)
               0.195                   (0.9839, -0.1789)                   (1.703, 0.5162)
               0.196                   (0.9836, -0.1806)                   (1.703, 0.5142)
               0.197                   (0.9832, -0.1824)                   (1.703, 0.5122)
               0.198                   (0.9829, -0.1841)                   (1.703, 0.5102)
               0.199                   (0.9826, -0.1859)                   (1.702, 0.5082)
                 0.2                   (0.9822, -0.1877)                   (1.702, 0.5061)
               0.201                   (0.9819, -0.1895)                   (1.702, 0.5041)
               0.202                   (0.9815, -0.1913)                   (1.702, 0.502)
               0.203                   (0.9812, -0.1931)                   (1.702, 0.4999)
               0.204                   (0.9808, -0.1949)                   (1.702, 0.4978)
               0.205                   (0.9805, -0.1968)                   (1.702, 0.4957)
               0.206                   (0.9801, -0.1986)                   (1.702, 0.4936)
               0.207                   (0.9797, -0.2004)                   (1.702, 0.4915)
               0.208                   (0.9793, -0.2023)                   (1.702, 0.4894)
               0.209                   (0.9789, -0.2041)                   (1.701, 0.4872)
                0.21                   (0.9786, -0.206)                   (1.701, 0.4851)
               0.211                   (0.9782, -0.2078)                   (1.701, 0.4829)
               0.212                   (0.9778, -0.2097)                   (1.701, 0.4807)
               0.213                   (0.9774, -0.2116)                   (1.701, 0.4785)
               0.214                   (0.977, -0.2135)                   (1.701, 0.4763)
               0.215                   (0.9765, -0.2154)                   (1.701, 0.4741)
               0.216                   (0.9761, -0.2173)                   (1.701, 0.4719)
               0.217                   (0.9757, -0.2192)                   (1.701, 0.4697)
               0.218                   (0.9753, -0.2211)                   (1.701, 0.4674)
               0.219                   (0.9748, -0.223)                   (1.7, 0.4652)
                0.22                   (0.9744, -0.2249)                   (1.7, 0.4629)
               0.221                   (0.9739, -0.2268)                   (1.7, 0.4606)
               0.222                   (0.9735, -0.2288)                   (1.7, 0.4583)
               0.223                   (0.973, -0.2307)                   (1.7, 0.456)
               0.224                   (0.9726, -0.2327)                   (1.7, 0.4537)
               0.225                   (0.9721, -0.2346)                   (1.7, 0.4514)
               0.226                   (0.9716, -0.2366)                   (1.7, 0.4491)
               0.227                   (0.9711, -0.2385)                   (1.699, 0.4467)
               0.228                   (0.9706, -0.2405)                   (1.699, 0.4444)
               0.229                   (0.9702, -0.2425)                   (1.699, 0.442)
                0.23                   (0.9697, -0.2445)                   (1.699, 0.4396)
               0.231                   (0.9692, -0.2465)                   (1.699, 0.4372)
               0.232                   (0.9686, -0.2485)                   (1.699, 0.4348)
               0.233                   (0.9681, -0.2505)                   (1.699, 0.4324)
               0.234                   (0.9676, -0.2525)                   (1.699, 0.43)
               0.235                   (0.9671, -0.2545)                   (1.698, 0.4276)
               0.236                   (0.9665, -0.2565)                   (1.698, 0.4251)
               0.237                   (0.966, -0.2585)                   (1.698, 0.4227)
               0.238                   (0.9655, -0.2606)                   (1.698, 0.4202)
               0.239                   (0.9649, -0.2626)                   (1.698, 0.4177)
                0.24                   (0.9643, -0.2646)                   (1.698, 0.4152)
               0.241                   (0.9638, -0.2667)                   (1.698, 0.4127)
               0.242                   (0.9632, -0.2688)                   (1.697, 0.4102)
               0.243                   (0.9626, -0.2708)                   (1.697, 0.4077)
               0.244                   (0.962, -0.2729)                   (1.697, 0.4051)
               0.245                   (0.9615, -0.275)                   (1.697, 0.4026)
               0.246                   (0.9609, -0.277)                   (1.697, 0.4)
               0.247                   (0.9603, -0.2791)                   (1.697, 0.3975)
               0.248                   (0.9596, -0.2812)                   (1.696, 0.3949)
               0.249                   (0.959, -0.2833)                   (1.696, 0.3923)
                0.25                   (0.9584, -0.2854)                   (1.696, 0.3897)
               0.251                   (0.9578, -0.2875)                   (1.696, 0.3871)
               0.252                   (0.9571, -0.2896)                   (1.696, 0.3845)
               0.253                   (0.9565, -0.2917)                   (1.696, 0.3818)
               0.254                   (0.9559, -0.2938)                   (1.695, 0.3792)
               0.255                   (0.9552, -0.296)                   (1.695, 0.3765)
               0.256                   (0.9545, -0.2981)                   (1.695, 0.3739)
               0.257                   (0.9539, -0.3002)                   (1.695, 0.3712)
               0.258                   (0.9532, -0.3024)                   (1.695, 0.3685)
               0.259                   (0.9525, -0.3045)                   (1.695, 0.3658)
                0.26                   (0.9518, -0.3066)                   (1.694, 0.3631)
               0.261                   (0.9511, -0.3088)                   (1.694, 0.3603)
               0.262                   (0.9504, -0.311)                   (1.694, 0.3576)
               0.263                   (0.9497, -0.3131)                   (1.694, 0.3548)
               0.264                   (0.949, -0.3153)                   (1.694, 0.3521)
               0.265                   (0.9483, -0.3175)                   (1.694, 0.3493)
               0.266                   (0.9475, -0.3196)                   (1.693, 0.3465)
               0.267                   (0.9468, -0.3218)                   (1.693, 0.3437)
               0.268                   (0.9461, -0.324)                   (1.693, 0.3409)
               0.269                   (0.9453, -0.3262)                   (1.693, 0.3381)
                0.27                   (0.9445, -0.3284)                   (1.693, 0.3353)
               0.271                   (0.9438, -0.3306)                   (1.692, 0.3324)
               0.272                   (0.943, -0.3328)                   (1.692, 0.3296)
               0.273                   (0.9422, -0.335)                   (1.692, 0.3267)
               0.274                   (0.9414, -0.3372)                   (1.692, 0.3238)
               0.275                   (0.9406, -0.3394)                   (1.692, 0.321)
