          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
                4.98                   (-0.9385, 0.3453)                   (-1.937, 0.4074)
               4.981                   (-0.9388, 0.3444)                   (-1.937, 0.407)
               4.982                   (-0.9391, 0.3436)                   (-1.937, 0.4066)
               4.983                   (-0.9394, 0.3428)                   (-1.937, 0.4062)
               4.984                   (-0.9397, 0.3419)                   (-1.938, 0.4058)
               4.985                   (-0.94, 0.3411)                   (-1.938, 0.4053)
               4.986                   (-0.9403, 0.3402)                   (-1.938, 0.4049)
               4.987                   (-0.9407, 0.3393)                   (-1.939, 0.4044)
               4.988                   (-0.941, 0.3385)                   (-1.939, 0.4039)
               4.989                   (-0.9413, 0.3376)                   (-1.939, 0.4034)
                4.99                   (-0.9416, 0.3367)                   (-1.939, 0.403)
               4.991                   (-0.9419, 0.3358)                   (-1.94, 0.4025)
               4.992                   (-0.9423, 0.3349)                   (-1.94, 0.4019)
               4.993                   (-0.9426, 0.3339)                   (-1.94, 0.4014)
               4.994                   (-0.9429, 0.333)                   (-1.941, 0.4009)
               4.995                   (-0.9433, 0.3321)                   (-1.941, 0.4004)
               4.996                   (-0.9436, 0.3311)                   (-1.941, 0.3998)
               4.997                   (-0.9439, 0.3302)                   (-1.942, 0.3993)
               4.998                   (-0.9443, 0.3292)                   (-1.942, 0.3987)
               4.999                   (-0.9446, 0.3282)                   (-1.942, 0.3981)
                   5                   (-0.9449, 0.3273)                   (-1.942, 0.3975)
               5.001                   (-0.9453, 0.3263)                   (-1.943, 0.3969)
               5.002                   (-0.9456, 0.3253)                   (-1.943, 0.3963)
               5.003                   (-0.946, 0.3243)                   (-1.943, 0.3957)
               5.004                   (-0.9463, 0.3233)                   (-1.944, 0.3951)
               5.005                   (-0.9467, 0.3222)                   (-1.944, 0.3944)
               5.006                   (-0.947, 0.3212)                   (-1.944, 0.3938)
               5.007                   (-0.9474, 0.3202)                   (-1.945, 0.3931)
               5.008                   (-0.9477, 0.3191)                   (-1.945, 0.3925)
               5.009                   (-0.9481, 0.3181)                   (-1.945, 0.3918)
                5.01                   (-0.9484, 0.317)                   (-1.946, 0.3911)
               5.011                   (-0.9488, 0.3159)                   (-1.946, 0.3904)
               5.012                   (-0.9491, 0.3148)                   (-1.946, 0.3897)
               5.013                   (-0.9495, 0.3137)                   (-1.947, 0.389)
               5.014                   (-0.9499, 0.3126)                   (-1.947, 0.3883)
               5.015                   (-0.9502, 0.3115)                   (-1.947, 0.3875)
               5.016                   (-0.9506, 0.3104)                   (-1.948, 0.3868)
               5.017                   (-0.951, 0.3093)                   (-1.948, 0.386)
               5.018                   (-0.9513, 0.3081)                   (-1.948, 0.3853)
               5.019                   (-0.9517, 0.307)                   (-1.949, 0.3845)
                5.02                   (-0.9521, 0.3058)                   (-1.949, 0.3837)
               5.021                   (-0.9525, 0.3047)                   (-1.949, 0.3829)
               5.022                   (-0.9528, 0.3035)                   (-1.95, 0.3821)
               5.023                   (-0.9532, 0.3023)                   (-1.95, 0.3813)
               5.024                   (-0.9536, 0.3011)                   (-1.95, 0.3805)
               5.025                   (-0.954, 0.2999)                   (-1.951, 0.3797)
               5.026                   (-0.9543, 0.2987)                   (-1.951, 0.3788)
               5.027                   (-0.9547, 0.2975)                   (-1.951, 0.378)
               5.028                   (-0.9551, 0.2963)                   (-1.952, 0.3771)
               5.029                   (-0.9555, 0.295)                   (-1.952, 0.3763)
                5.03                   (-0.9559, 0.2938)                   (-1.953, 0.3754)
               5.031                   (-0.9563, 0.2925)                   (-1.953, 0.3745)
               5.032                   (-0.9566, 0.2913)                   (-1.953, 0.3736)
               5.033                   (-0.957, 0.29)                   (-1.954, 0.3727)
               5.034                   (-0.9574, 0.2887)                   (-1.954, 0.3718)
               5.035                   (-0.9578, 0.2874)                   (-1.954, 0.3708)
               5.036                   (-0.9582, 0.2861)                   (-1.955, 0.3699)
               5.037                   (-0.9586, 0.2848)                   (-1.955, 0.369)
               5.038                   (-0.959, 0.2835)                   (-1.955, 0.368)
               5.039                   (-0.9594, 0.2822)                   (-1.956, 0.367)
                5.04                   (-0.9598, 0.2808)                   (-1.956, 0.3661)
               5.041                   (-0.9602, 0.2795)                   (-1.956, 0.3651)
               5.042                   (-0.9605, 0.2781)                   (-1.957, 0.3641)
               5.043                   (-0.9609, 0.2768)                   (-1.957, 0.3631)
               5.044                   (-0.9613, 0.2754)                   (-1.958, 0.3621)
               5.045                   (-0.9617, 0.274)                   (-1.958, 0.361)
               5.046                   (-0.9621, 0.2726)                   (-1.958, 0.36)
               5.047                   (-0.9625, 0.2712)                   (-1.959, 0.3589)
               5.048                   (-0.9629, 0.2698)                   (-1.959, 0.3579)
               5.049                   (-0.9633, 0.2684)                   (-1.959, 0.3568)
                5.05                   (-0.9637, 0.2669)                   (-1.96, 0.3558)
               5.051                   (-0.9641, 0.2655)                   (-1.96, 0.3547)
               5.052                   (-0.9645, 0.264)                   (-1.96, 0.3536)
               5.053                   (-0.9649, 0.2626)                   (-1.961, 0.3525)
               5.054                   (-0.9653, 0.2611)                   (-1.961, 0.3514)
               5.055                   (-0.9657, 0.2596)                   (-1.962, 0.3502)
               5.056                   (-0.9661, 0.2581)                   (-1.962, 0.3491)
               5.057                   (-0.9665, 0.2566)                   (-1.962, 0.348)
               5.058                   (-0.9669, 0.2551)                   (-1.963, 0.3468)
               5.059                   (-0.9673, 0.2536)                   (-1.963, 0.3456)
                5.06                   (-0.9677, 0.252)                   (-1.963, 0.3445)
               5.061                   (-0.9681, 0.2505)                   (-1.964, 0.3433)
               5.062                   (-0.9685, 0.249)                   (-1.964, 0.3421)
               5.063                   (-0.9689, 0.2474)                   (-1.965, 0.3409)
               5.064                   (-0.9693, 0.2458)                   (-1.965, 0.3397)
               5.065                   (-0.9697, 0.2442)                   (-1.965, 0.3385)
               5.066                   (-0.9701, 0.2426)                   (-1.966, 0.3372)
               5.067                   (-0.9705, 0.241)                   (-1.966, 0.336)
               5.068                   (-0.9709, 0.2394)                   (-1.966, 0.3347)
               5.069                   (-0.9713, 0.2378)                   (-1.967, 0.3335)
                5.07                   (-0.9717, 0.2362)                   (-1.967, 0.3322)
               5.071                   (-0.9721, 0.2345)                   (-1.967, 0.3309)
               5.072                   (-0.9725, 0.2329)                   (-1.968, 0.3296)
               5.073                   (-0.9729, 0.2312)                   (-1.968, 0.3283)
               5.074                   (-0.9733, 0.2296)                   (-1.969, 0.327)
               5.075                   (-0.9737, 0.2279)                   (-1.969, 0.3257)
               5.076                   (-0.9741, 0.2262)                   (-1.969, 0.3244)
               5.077                   (-0.9745, 0.2245)                   (-1.97, 0.323)
               5.078                   (-0.9749, 0.2228)                   (-1.97, 0.3217)
               5.079                   (-0.9753, 0.221)                   (-1.97, 0.3203)
                5.08                   (-0.9757, 0.2193)                   (-1.971, 0.319)
               5.081                   (-0.976, 0.2176)                   (-1.971, 0.3176)
               5.082                   (-0.9764, 0.2158)                   (-1.971, 0.3162)
               5.083                   (-0.9768, 0.2141)                   (-1.972, 0.3148)
               5.084                   (-0.9772, 0.2123)                   (-1.972, 0.3134)
               5.085                   (-0.9776, 0.2105)                   (-1.972, 0.312)
               5.086                   (-0.978, 0.2087)                   (-1.973, 0.3105)
               5.087                   (-0.9784, 0.2069)                   (-1.973, 0.3091)
               5.088                   (-0.9787, 0.2051)                   (-1.973, 0.3077)
               5.089                   (-0.9791, 0.2033)                   (-1.974, 0.3062)
                5.09                   (-0.9795, 0.2014)                   (-1.974, 0.3047)
               5.091                   (-0.9799, 0.1996)                   (-1.974, 0.3032)
               5.092                   (-0.9803, 0.1977)                   (-1.975, 0.3018)
               5.093                   (-0.9806, 0.1959)                   (-1.975, 0.3003)
               5.094                   (-0.981, 0.194)                   (-1.976, 0.2988)
               5.095                   (-0.9814, 0.1921)                   (-1.976, 0.2972)
               5.096                   (-0.9817, 0.1902)                   (-1.976, 0.2957)
               5.097                   (-0.9821, 0.1883)                   (-1.976, 0.2942)
               5.098                   (-0.9825, 0.1864)                   (-1.977, 0.2926)
               5.099                   (-0.9828, 0.1844)                   (-1.977, 0.2911)
                 5.1                   (-0.9832, 0.1825)                   (-1.977, 0.2895)
               5.101                   (-0.9836, 0.1806)                   (-1.978, 0.2879)
               5.102                   (-0.9839, 0.1786)                   (-1.978, 0.2863)
               5.103                   (-0.9843, 0.1766)                   (-1.978, 0.2847)
               5.104                   (-0.9846, 0.1747)                   (-1.979, 0.2831)
               5.105                   (-0.985, 0.1727)                   (-1.979, 0.2815)
               5.106                   (-0.9853, 0.1707)                   (-1.979, 0.2799)
               5.107                   (-0.9857, 0.1686)                   (-1.98, 0.2782)
               5.108                   (-0.986, 0.1666)                   (-1.98, 0.2766)
               5.109                   (-0.9864, 0.1646)                   (-1.98, 0.2749)
                5.11                   (-0.9867, 0.1625)                   (-1.981, 0.2732)
               5.111                   (-0.987, 0.1605)                   (-1.981, 0.2716)
               5.112                   (-0.9874, 0.1584)                   (-1.981, 0.2699)
               5.113                   (-0.9877, 0.1564)                   (-1.981, 0.2682)
               5.114                   (-0.988, 0.1543)                   (-1.982, 0.2665)
               5.115                   (-0.9884, 0.1522)                   (-1.982, 0.2647)
               5.116                   (-0.9887, 0.1501)                   (-1.982, 0.263)
               5.117                   (-0.989, 0.148)                   (-1.983, 0.2613)
               5.118                   (-0.9893, 0.1458)                   (-1.983, 0.2595)
               5.119                   (-0.9896, 0.1437)                   (-1.983, 0.2578)
                5.12                   (-0.9899, 0.1415)                   (-1.983, 0.256)
               5.121                   (-0.9902, 0.1394)                   (-1.984, 0.2542)
               5.122                   (-0.9905, 0.1372)                   (-1.984, 0.2524)
               5.123                   (-0.9908, 0.135)                   (-1.984, 0.2506)
               5.124                   (-0.9911, 0.1329)                   (-1.984, 0.2488)
               5.125                   (-0.9914, 0.1307)                   (-1.985, 0.247)
               5.126                   (-0.9917, 0.1284)                   (-1.985, 0.2451)
               5.127                   (-0.992, 0.1262)                   (-1.985, 0.2433)
               5.128                   (-0.9923, 0.124)                   (-1.985, 0.2414)
               5.129                   (-0.9926, 0.1218)                   (-1.986, 0.2396)
                5.13                   (-0.9928, 0.1195)                   (-1.986, 0.2377)
               5.131                   (-0.9931, 0.1172)                   (-1.986, 0.2358)
               5.132                   (-0.9934, 0.115)                   (-1.986, 0.2339)
               5.133                   (-0.9936, 0.1127)                   (-1.986, 0.232)
               5.134                   (-0.9939, 0.1104)                   (-1.987, 0.2301)
               5.135                   (-0.9941, 0.1081)                   (-1.987, 0.2282)
               5.136                   (-0.9944, 0.1058)                   (-1.987, 0.2263)
               5.137                   (-0.9946, 0.1035)                   (-1.987, 0.2243)
               5.138                   (-0.9949, 0.1011)                   (-1.987, 0.2223)
               5.139                   (-0.9951, 0.09878)                   (-1.988, 0.2204)
                5.14                   (-0.9953, 0.09643)                   (-1.988, 0.2184)
               5.141                   (-0.9956, 0.09406)                   (-1.988, 0.2164)
               5.142                   (-0.9958, 0.09169)                   (-1.988, 0.2144)
               5.143                   (-0.996, 0.08931)                   (-1.988, 0.2124)
               5.144                   (-0.9962, 0.08691)                   (-1.989, 0.2104)
               5.145                   (-0.9964, 0.08451)                   (-1.989, 0.2084)
               5.146                   (-0.9966, 0.08209)                   (-1.989, 0.2063)
               5.147                   (-0.9968, 0.07967)                   (-1.989, 0.2043)
               5.148                   (-0.997, 0.07724)                   (-1.989, 0.2022)
               5.149                   (-0.9972, 0.0748)                   (-1.989, 0.2001)
                5.15                   (-0.9974, 0.07234)                   (-1.989, 0.1981)
               5.151                   (-0.9976, 0.06988)                   (-1.99, 0.196)
               5.152                   (-0.9977, 0.06741)                   (-1.99, 0.1939)
               5.153                   (-0.9979, 0.06492)                   (-1.99, 0.1918)
               5.154                   (-0.998, 0.06243)                   (-1.99, 0.1896)
               5.155                   (-0.9982, 0.05993)                   (-1.99, 0.1875)
               5.156                   (-0.9984, 0.05742)                   (-1.99, 0.1853)
               5.157                   (-0.9985, 0.0549)                   (-1.99, 0.1832)
               5.158                   (-0.9986, 0.05237)                   (-1.99, 0.181)
               5.159                   (-0.9988, 0.04983)                   (-1.99, 0.1788)
                5.16                   (-0.9989, 0.04728)                   (-1.99, 0.1767)
               5.161                   (-0.999, 0.04472)                   (-1.991, 0.1745)
               5.162                   (-0.9991, 0.04215)                   (-1.991, 0.1723)
               5.163                   (-0.9992, 0.03957)                   (-1.991, 0.17)
               5.164                   (-0.9993, 0.03699)                   (-1.991, 0.1678)
               5.165                   (-0.9994, 0.03439)                   (-1.991, 0.1656)
               5.166                   (-0.9995, 0.03179)                   (-1.991, 0.1633)
               5.167                   (-0.9996, 0.02917)                   (-1.991, 0.1611)
               5.168                   (-0.9996, 0.02655)                   (-1.991, 0.1588)
               5.169                   (-0.9997, 0.02392)                   (-1.991, 0.1565)
                5.17                   (-0.9998, 0.02127)                   (-1.991, 0.1542)
               5.171                   (-0.9998, 0.01862)                   (-1.991, 0.1519)
               5.172                   (-0.9999, 0.01596)                   (-1.991, 0.1496)
               5.173                   (-0.9999, 0.0133)                   (-1.991, 0.1473)
               5.174                   (-0.9999, 0.01062)                   (-1.991, 0.1449)
               5.175                   (-1, 0.007934)                   (-1.991, 0.1426)
               5.176                   (-1, 0.005239)                   (-1.991, 0.1402)
               5.177                   (-1, 0.002536)                   (-1.991, 0.1378)
               5.178                   (-1, -0.0001752)                   (-1.991, 0.1355)
               5.179                   (-1, -0.002895)                   (-1.991, 0.1331)
                5.18                   (-1, -0.005624)                   (-1.991, 0.1307)
               5.181                   (-1, -0.008361)                   (-1.991, 0.1283)
               5.182                   (-0.9999, -0.01111)                   (-1.991, 0.1258)
               5.183                   (-0.9999, -0.01386)                   (-1.99, 0.1234)
               5.184                   (-0.9999, -0.01662)                   (-1.99, 0.121)
               5.185                   (-0.9998, -0.01939)                   (-1.99, 0.1185)
               5.186                   (-0.9998, -0.02217)                   (-1.99, 0.116)
               5.187                   (-0.9997, -0.02495)                   (-1.99, 0.1136)
               5.188                   (-0.9996, -0.02775)                   (-1.99, 0.1111)
               5.189                   (-0.9995, -0.03055)                   (-1.99, 0.1086)
                5.19                   (-0.9994, -0.03336)                   (-1.99, 0.1061)
               5.191                   (-0.9993, -0.03618)                   (-1.99, 0.1035)
               5.192                   (-0.9992, -0.039)                   (-1.989, 0.101)
               5.193                   (-0.9991, -0.04183)                   (-1.989, 0.09847)
               5.194                   (-0.999, -0.04467)                   (-1.989, 0.09592)
               5.195                   (-0.9989, -0.04752)                   (-1.989, 0.09336)
               5.196                   (-0.9987, -0.05038)                   (-1.989, 0.09078)
               5.197                   (-0.9986, -0.05324)                   (-1.989, 0.08819)
               5.198                   (-0.9984, -0.05611)                   (-1.988, 0.0856)
               5.199                   (-0.9983, -0.05898)                   (-1.988, 0.08299)
                 5.2                   (-0.9981, -0.06187)                   (-1.988, 0.08037)
               5.201                   (-0.9979, -0.06476)                   (-1.988, 0.07774)
               5.202                   (-0.9977, -0.06765)                   (-1.987, 0.0751)
               5.203                   (-0.9975, -0.07056)                   (-1.987, 0.07245)
               5.204                   (-0.9973, -0.07347)                   (-1.987, 0.06978)
               5.205                   (-0.9971, -0.07639)                   (-1.987, 0.06711)
               5.206                   (-0.9969, -0.07931)                   (-1.986, 0.06442)
               5.207                   (-0.9966, -0.08224)                   (-1.986, 0.06173)
               5.208                   (-0.9964, -0.08518)                   (-1.986, 0.05902)
               5.209                   (-0.9961, -0.08812)                   (-1.986, 0.0563)
                5.21                   (-0.9958, -0.09107)                   (-1.985, 0.05357)
               5.211                   (-0.9956, -0.09403)                   (-1.985, 0.05083)
               5.212                   (-0.9953, -0.09699)                   (-1.985, 0.04808)
               5.213                   (-0.995, -0.09996)                   (-1.984, 0.04531)
               5.214                   (-0.9947, -0.1029)                   (-1.984, 0.04254)
               5.215                   (-0.9944, -0.1059)                   (-1.984, 0.03975)
               5.216                   (-0.9941, -0.1089)                   (-1.983, 0.03696)
               5.217                   (-0.9937, -0.1119)                   (-1.983, 0.03415)
               5.218                   (-0.9934, -0.1149)                   (-1.983, 0.03133)
               5.219                   (-0.993, -0.1179)                   (-1.982, 0.0285)
                5.22                   (-0.9927, -0.1209)                   (-1.982, 0.02566)
               5.221                   (-0.9923, -0.1239)                   (-1.981, 0.02281)
               5.222                   (-0.9919, -0.1269)                   (-1.981, 0.01994)
               5.223                   (-0.9915, -0.1299)                   (-1.981, 0.01707)
               5.224                   (-0.9911, -0.133)                   (-1.98, 0.01418)
               5.225                   (-0.9907, -0.136)                   (-1.98, 0.01129)
               5.226                   (-0.9903, -0.139)                   (-1.979, 0.00838)
               5.227                   (-0.9899, -0.1421)                   (-1.979, 0.005461)
               5.228                   (-0.9894, -0.1451)                   (-1.978, 0.00253)
               5.229                   (-0.989, -0.1482)                   (-1.978, -0.0004112)
                5.23                   (-0.9885, -0.1512)                   (-1.978, -0.003364)
               5.231                   (-0.988, -0.1543)                   (-1.977, -0.006328)
               5.232                   (-0.9875, -0.1574)                   (-1.977, -0.009303)
               5.233                   (-0.987, -0.1604)                   (-1.976, -0.01229)
               5.234                   (-0.9865, -0.1635)                   (-1.975, -0.01529)
               5.235                   (-0.986, -0.1666)                   (-1.975, -0.0183)
               5.236                   (-0.9855, -0.1697)                   (-1.974, -0.02132)
               5.237                   (-0.985, -0.1728)                   (-1.974, -0.02435)
               5.238                   (-0.9844, -0.1759)                   (-1.973, -0.02739)
               5.239                   (-0.9839, -0.179)                   (-1.973, -0.03044)
                5.24                   (-0.9833, -0.182)                   (-1.972, -0.03351)
               5.241                   (-0.9827, -0.1851)                   (-1.972, -0.03659)
               5.242                   (-0.9821, -0.1883)                   (-1.971, -0.03967)
               5.243                   (-0.9815, -0.1914)                   (-1.97, -0.04277)
               5.244                   (-0.9809, -0.1945)                   (-1.97, -0.04588)
               5.245                   (-0.9803, -0.1976)                   (-1.969, -0.049)
               5.246                   (-0.9797, -0.2007)                   (-1.969, -0.05214)
               5.247                   (-0.979, -0.2038)                   (-1.968, -0.05528)
               5.248                   (-0.9784, -0.2069)                   (-1.967, -0.05844)
               5.249                   (-0.9777, -0.2101)                   (-1.967, -0.0616)
                5.25                   (-0.977, -0.2132)                   (-1.966, -0.06478)
               5.251                   (-0.9763, -0.2163)                   (-1.965, -0.06797)
               5.252                   (-0.9756, -0.2195)                   (-1.965, -0.07117)
               5.253                   (-0.9749, -0.2226)                   (-1.964, -0.07438)
               5.254                   (-0.9742, -0.2257)                   (-1.963, -0.0776)
               5.255                   (-0.9735, -0.2289)                   (-1.962, -0.08084)
               5.256                   (-0.9727, -0.232)                   (-1.962, -0.08408)
               5.257                   (-0.972, -0.2352)                   (-1.961, -0.08734)
               5.258                   (-0.9712, -0.2383)                   (-1.96, -0.09061)
               5.259                   (-0.9704, -0.2415)                   (-1.959, -0.09389)
                5.26                   (-0.9696, -0.2446)                   (-1.959, -0.09718)
               5.261                   (-0.9688, -0.2478)                   (-1.958, -0.1005)
               5.262                   (-0.968, -0.2509)                   (-1.957, -0.1038)
               5.263                   (-0.9672, -0.2541)                   (-1.956, -0.1071)
               5.264                   (-0.9664, -0.2572)                   (-1.956, -0.1105)
               5.265                   (-0.9655, -0.2604)                   (-1.955, -0.1138)
               5.266                   (-0.9646, -0.2635)                   (-1.954, -0.1172)
               5.267                   (-0.9638, -0.2667)                   (-1.953, -0.1205)
               5.268                   (-0.9629, -0.2699)                   (-1.952, -0.1239)
               5.269                   (-0.962, -0.273)                   (-1.951, -0.1273)
                5.27                   (-0.9611, -0.2762)                   (-1.95, -0.1307)
               5.271                   (-0.9602, -0.2794)                   (-1.95, -0.1341)
               5.272                   (-0.9593, -0.2825)                   (-1.949, -0.1375)
               5.273                   (-0.9583, -0.2857)                   (-1.948, -0.141)
               5.274                   (-0.9574, -0.2888)                   (-1.947, -0.1444)
               5.275                   (-0.9564, -0.292)                   (-1.946, -0.1479)
               5.276                   (-0.9554, -0.2952)                   (-1.945, -0.1514)
               5.277                   (-0.9545, -0.2983)                   (-1.944, -0.1548)
               5.278                   (-0.9535, -0.3015)                   (-1.943, -0.1583)
               5.279                   (-0.9525, -0.3047)                   (-1.942, -0.1618)
                5.28                   (-0.9514, -0.3078)                   (-1.941, -0.1654)
               5.281                   (-0.9504, -0.311)                   (-1.94, -0.1689)
               5.282                   (-0.9494, -0.3142)                   (-1.939, -0.1724)
               5.283                   (-0.9483, -0.3173)                   (-1.938, -0.176)
               5.284                   (-0.9472, -0.3205)                   (-1.937, -0.1795)
               5.285                   (-0.9462, -0.3237)                   (-1.936, -0.1831)
               5.286                   (-0.9451, -0.3268)                   (-1.935, -0.1867)
               5.287                   (-0.944, -0.33)                   (-1.934, -0.1903)
               5.288                   (-0.9429, -0.3332)                   (-1.933, -0.1939)
               5.289                   (-0.9417, -0.3363)                   (-1.932, -0.1975)
                5.29                   (-0.9406, -0.3395)                   (-1.931, -0.2011)
               5.291                   (-0.9395, -0.3426)                   (-1.93, -0.2048)
               5.292                   (-0.9383, -0.3458)                   (-1.929, -0.2084)
               5.293                   (-0.9371, -0.3489)                   (-1.928, -0.2121)
               5.294                   (-0.936, -0.3521)                   (-1.927, -0.2158)
               5.295                   (-0.9348, -0.3553)                   (-1.926, -0.2194)
               5.296                   (-0.9336, -0.3584)                   (-1.924, -0.2231)
               5.297                   (-0.9324, -0.3616)                   (-1.923, -0.2268)
               5.298                   (-0.9311, -0.3647)                   (-1.922, -0.2306)
               5.299                   (-0.9299, -0.3678)                   (-1.921, -0.2343)
                 5.3                   (-0.9286, -0.371)                   (-1.92, -0.238)
               5.301                   (-0.9274, -0.3741)                   (-1.919, -0.2418)
               5.302                   (-0.9261, -0.3773)                   (-1.917, -0.2456)
               5.303                   (-0.9248, -0.3804)                   (-1.916, -0.2493)
               5.304                   (-0.9235, -0.3836)                   (-1.915, -0.2531)
               5.305                   (-0.9222, -0.3867)                   (-1.914, -0.2569)
               5.306                   (-0.9209, -0.3898)                   (-1.913, -0.2607)
               5.307                   (-0.9196, -0.3929)                   (-1.911, -0.2645)
               5.308                   (-0.9182, -0.3961)                   (-1.91, -0.2684)
               5.309                   (-0.9169, -0.3992)                   (-1.909, -0.2722)
                5.31                   (-0.9155, -0.4023)                   (-1.907, -0.2761)
               5.311                   (-0.9141, -0.4054)                   (-1.906, -0.2799)
               5.312                   (-0.9127, -0.4085)                   (-1.905, -0.2838)
               5.313                   (-0.9113, -0.4117)                   (-1.904, -0.2877)
               5.314                   (-0.9099, -0.4148)                   (-1.902, -0.2916)
               5.315                   (-0.9085, -0.4179)                   (-1.901, -0.2955)
               5.316                   (-0.9071, -0.421)                   (-1.9, -0.2994)
               5.317                   (-0.9056, -0.4241)                   (-1.898, -0.3033)
               5.318                   (-0.9042, -0.4272)                   (-1.897, -0.3073)
               5.319                   (-0.9027, -0.4303)                   (-1.896, -0.3112)
                5.32                   (-0.9012, -0.4333)                   (-1.894, -0.3152)
               5.321                   (-0.8997, -0.4364)                   (-1.893, -0.3192)
               5.322                   (-0.8982, -0.4395)                   (-1.891, -0.3231)
               5.323                   (-0.8967, -0.4426)                   (-1.89, -0.3271)
               5.324                   (-0.8952, -0.4457)                   (-1.889, -0.3311)
               5.325                   (-0.8937, -0.4487)                   (-1.887, -0.3352)
               5.326                   (-0.8921, -0.4518)                   (-1.886, -0.3392)
               5.327                   (-0.8906, -0.4548)                   (-1.884, -0.3432)
               5.328                   (-0.889, -0.4579)                   (-1.883, -0.3473)
               5.329                   (-0.8874, -0.4609)                   (-1.881, -0.3513)
                5.33                   (-0.8858, -0.464)                   (-1.88, -0.3554)
               5.331                   (-0.8842, -0.467)                   (-1.878, -0.3595)
               5.332                   (-0.8826, -0.4701)                   (-1.877, -0.3636)
               5.333                   (-0.881, -0.4731)                   (-1.875, -0.3677)
               5.334                   (-0.8794, -0.4761)                   (-1.874, -0.3718)
               5.335                   (-0.8777, -0.4792)                   (-1.872, -0.3759)
               5.336                   (-0.8761, -0.4822)                   (-1.871, -0.3801)
               5.337                   (-0.8744, -0.4852)                   (-1.869, -0.3842)
               5.338                   (-0.8727, -0.4882)                   (-1.868, -0.3884)
               5.339                   (-0.8711, -0.4912)                   (-1.866, -0.3926)
                5.34                   (-0.8694, -0.4942)                   (-1.865, -0.3967)
               5.341                   (-0.8676, -0.4972)                   (-1.863, -0.4009)
               5.342                   (-0.8659, -0.5002)                   (-1.861, -0.4051)
               5.343                   (-0.8642, -0.5031)                   (-1.86, -0.4093)
               5.344                   (-0.8625, -0.5061)                   (-1.858, -0.4136)
               5.345                   (-0.8607, -0.5091)                   (-1.857, -0.4178)
               5.346                   (-0.859, -0.512)                   (-1.855, -0.4221)
               5.347                   (-0.8572, -0.515)                   (-1.853, -0.4263)
               5.348                   (-0.8554, -0.518)                   (-1.852, -0.4306)
               5.349                   (-0.8536, -0.5209)                   (-1.85, -0.4349)
                5.35                   (-0.8518, -0.5238)                   (-1.848, -0.4391)
               5.351                   (-0.85, -0.5268)                   (-1.847, -0.4434)
               5.352                   (-0.8482, -0.5297)                   (-1.845, -0.4478)
               5.353                   (-0.8464, -0.5326)                   (-1.843, -0.4521)
               5.354                   (-0.8445, -0.5355)                   (-1.841, -0.4564)
               5.355                   (-0.8427, -0.5384)                   (-1.84, -0.4608)
               5.356                   (-0.8408, -0.5413)                   (-1.838, -0.4651)
               5.357                   (-0.8389, -0.5442)                   (-1.836, -0.4695)
               5.358                   (-0.8371, -0.5471)                   (-1.834, -0.4738)
               5.359                   (-0.8352, -0.55)                   (-1.833, -0.4782)
                5.36                   (-0.8333, -0.5529)                   (-1.831, -0.4826)
               5.361                   (-0.8314, -0.5557)                   (-1.829, -0.487)
               5.362                   (-0.8294, -0.5586)                   (-1.827, -0.4914)
               5.363                   (-0.8275, -0.5614)                   (-1.825, -0.4959)
               5.364                   (-0.8256, -0.5643)                   (-1.824, -0.5003)
               5.365                   (-0.8236, -0.5671)                   (-1.822, -0.5048)
               5.366                   (-0.8217, -0.57)                   (-1.82, -0.5092)
               5.367                   (-0.8197, -0.5728)                   (-1.818, -0.5137)
               5.368                   (-0.8177, -0.5756)                   (-1.816, -0.5182)
               5.369                   (-0.8158, -0.5784)                   (-1.814, -0.5227)
                5.37                   (-0.8138, -0.5812)                   (-1.812, -0.5272)
               5.371                   (-0.8118, -0.584)                   (-1.81, -0.5317)
               5.372                   (-0.8098, -0.5868)                   (-1.808, -0.5362)
               5.373                   (-0.8077, -0.5895)                   (-1.807, -0.5407)
               5.374                   (-0.8057, -0.5923)                   (-1.805, -0.5453)
               5.375                   (-0.8037, -0.5951)                   (-1.803, -0.5498)
               5.376                   (-0.8016, -0.5978)                   (-1.801, -0.5544)
               5.377                   (-0.7996, -0.6006)                   (-1.799, -0.559)
               5.378                   (-0.7975, -0.6033)                   (-1.797, -0.5635)
               5.379                   (-0.7954, -0.606)                   (-1.795, -0.5681)
                5.38                   (-0.7934, -0.6087)                   (-1.793, -0.5727)
               5.381                   (-0.7913, -0.6115)                   (-1.791, -0.5773)
               5.382                   (-0.7892, -0.6142)                   (-1.789, -0.582)
               5.383                   (-0.7871, -0.6168)                   (-1.787, -0.5866)
               5.384                   (-0.785, -0.6195)                   (-1.785, -0.5913)
               5.385                   (-0.7829, -0.6222)                   (-1.783, -0.5959)
               5.386                   (-0.7807, -0.6249)                   (-1.78, -0.6006)
               5.387                   (-0.7786, -0.6275)                   (-1.778, -0.6052)
               5.388                   (-0.7765, -0.6302)                   (-1.776, -0.6099)
               5.389                   (-0.7743, -0.6328)                   (-1.774, -0.6146)
                5.39                   (-0.7721, -0.6354)                   (-1.772, -0.6193)
               5.391                   (-0.77, -0.6381)                   (-1.77, -0.624)
               5.392                   (-0.7678, -0.6407)                   (-1.768, -0.6288)
               5.393                   (-0.7656, -0.6433)                   (-1.766, -0.6335)
